Drug,lncRNA
3 3' 4 4'-tetrachlorobiphenyl,CTD-3080P12.3
3 3' 4 4'-tetrachlorobiphenyl,TMEM254-AS1
3 3' 4 4'-tetrachlorobiphenyl,HOXB-AS1
3 3' 4 4'-tetrachlorobiphenyl,ATXN8OS
3 3' 4 4'-tetrachlorobiphenyl,NFE4
3 3' 4 4'-tetrachlorobiphenyl,MIRLET7DHG
3 3' 4 4'-tetrachlorobiphenyl,RP11-18H7.1
3 3' 4 4'-tetrachlorobiphenyl,RP11-1191J2.2
3 3' 4 4'-tetrachlorobiphenyl,AL022476.2
3 3' 4 4'-tetrachlorobiphenyl,LINC00882
3 3' 4 4'-tetrachlorobiphenyl,RP4-705O1.1
3 3' 4 4'-tetrachlorobiphenyl,AC004538.3
3 3' 4 4'-tetrachlorobiphenyl,SOX2-OT
3 3' 4 4'-tetrachlorobiphenyl,AC092667.2
3 3' 4 4'-tetrachlorobiphenyl,USP3-AS1
3 3' 4 4'-tetrachlorobiphenyl,ERVMER61-1
3 3' 4 4'-tetrachlorobiphenyl,CTD-2632K10.1
3 3' 4 4'-tetrachlorobiphenyl,RP11-162I7.1
3 3' 4 4'-tetrachlorobiphenyl,LINC00276
3 3' 4 4'-tetrachlorobiphenyl,PROX1-AS1
3 3' 4 4'-tetrachlorobiphenyl,RP11-422J15.1
3 3' 4 4'-tetrachlorobiphenyl,LINC00880
3 3' 4 4'-tetrachlorobiphenyl,RP11-475A13.2
3 3' 4 4'-tetrachlorobiphenyl,FLNB-AS1
3 3' 4 4'-tetrachlorobiphenyl,RP4-738P15.1
3 3' 4 4'-tetrachlorobiphenyl,RP11-154D17.1
3 3' 4 4'-tetrachlorobiphenyl,RP11-65D17.1
3 3' 4 4'-tetrachlorobiphenyl,IQCH-AS1
3 3' 4 4'-tetrachlorobiphenyl,RP11-701I24.3
3 3' 4 4'-tetrachlorobiphenyl,RP6-109B7.2
3 3' 4 4'-tetrachlorobiphenyl,RP11-540A21.2
3 3' 4 4'-tetrachlorobiphenyl,RP11-257I14.1
3 3' 4 4'-tetrachlorobiphenyl,RP11-346D6.6
3 3' 4 4'-tetrachlorobiphenyl,CTD-2213F21.2
3 3' 4 4'-tetrachlorobiphenyl,RP11-400N9.1
3 3' 4 4'-tetrachlorobiphenyl,CTD-2012K14.7
3 3' 4 4'-tetrachlorobiphenyl,AC006552.1
3 3' 4 4'-tetrachlorobiphenyl,LINC00682
3 3' 4 4'-tetrachlorobiphenyl,RP11-8L2.1
3 3' 4 4'-tetrachlorobiphenyl,RP11-796E2.4
3 3' 4 4'-tetrachlorobiphenyl,AC107622.1
3 3' 4 4'-tetrachlorobiphenyl,RP11-315F22.1
3 3' 4 4'-tetrachlorobiphenyl,RP11-532F12.5
3 3' 4 4'-tetrachlorobiphenyl,RP11-1007O24.2
3 3' 4 4'-tetrachlorobiphenyl,RP11-88H9.2
3 3' 4 4'-tetrachlorobiphenyl,RP11-346I3.4
3 3' 4 4'-tetrachlorobiphenyl,AC018470.4
3 3' 4 4'-tetrachlorobiphenyl,CTD-3203P2.1
3 3' 4 4'-tetrachlorobiphenyl,RP11-161D15.1
3 3' 4 4'-tetrachlorobiphenyl,RP5-1158E12.3
3 3' 4 4'-tetrachlorobiphenyl,RP11-386B13.3
3 3' 4 4'-tetrachlorobiphenyl,RPS6KA2-AS1
3 3' 4 4'-tetrachlorobiphenyl,RP11-673E11.2
3 3' 4 4'-tetrachlorobiphenyl,LINC00968
3 3' 4 4'-tetrachlorobiphenyl,RP11-1149O23.3
3 3' 4 4'-tetrachlorobiphenyl,LL0XNC01-116E7.2
3 3' 4 4'-tetrachlorobiphenyl,RP11-669N7.3
3 3' 4 4'-tetrachlorobiphenyl,RGMB-AS1
3 3' 4 4'-tetrachlorobiphenyl,RP11-61A14.4
3 3' 4 4'-tetrachlorobiphenyl,RP11-182J23.1
3 3' 4 4'-tetrachlorobiphenyl,RP11-92G12.3
3 3' 4 4'-tetrachlorobiphenyl,RP11-400D2.2
3 3' 4 4'-tetrachlorobiphenyl,PHKA1-AS1
3 3' 4 4'-tetrachlorobiphenyl,AC093642.3
3 3' 4 4'-tetrachlorobiphenyl,RP11-557H15.3
3 3' 4 4'-tetrachlorobiphenyl,LINC00415
3 3' 4 4'-tetrachlorobiphenyl,RP11-506N2.1
3 3' 4 4'-tetrachlorobiphenyl,RP11-637A17.2
3 3' 4 4'-tetrachlorobiphenyl,LINC01104
3 3' 4 4'-tetrachlorobiphenyl,CARS-AS1
3 3' 4 4'-tetrachlorobiphenyl,RP3-417L20.4
3 3' 4 4'-tetrachlorobiphenyl,RAP2C-AS1
3 3' 4 4'-tetrachlorobiphenyl,CPEB2-AS1
3 3' 4 4'-tetrachlorobiphenyl,RP11-302L19.1
3 3' 4 4'-tetrachlorobiphenyl,CTB-127C13.1
3 3' 4 4'-tetrachlorobiphenyl,DAOA-AS1
